"date","name","weight"
2018-08-12,"raison",19.75
2018-08-12,"simone",10.88
2018-08-12,"gagne",10.62
2018-08-19,"raison",20.19
2018-08-19,"simone",11.12
2018-08-19,"gagne",10.75
2018-08-19,"std",20.99
2018-08-22,"raison",20.25
2018-08-22,"simone",11.25
2018-08-22,"gagne",10.81
2018-08-22,"std",20.98
2018-08-24,"raison",19.81
2018-08-24,"simone",11.25
2018-08-24,"gagne",11.06
2018-08-24,"std",20.98
2018-08-27,"raison",19.38
2018-08-27,"simone",10.5
2018-08-27,"gagne",10.38
2018-08-27,"std",20.98
2018-08-29,"raison",19.38
2018-08-29,"simone",11
2018-08-29,"gagne",11.06
2018-08-29,"std",20.98
2018-08-31,"raison",19.56
2018-08-31,"simone",11
2018-08-31,"gagne",10.75
2018-08-31,"std",20.98
2018-09-02,"raison",19.62
2018-09-02,"simone",10.81
2018-09-02,"gagne",10.62
2018-09-02,"std",20.98
2018-09-03,"raison",19.5
2018-09-03,"simone",10.94
2018-09-03,"gagne",10.81
2018-09-03,"std",20.98
2018-09-04,"raison",19.56
2018-09-04,"simone",11
2018-09-04,"gagne",10.94
2018-09-04,"std",20.98
2018-09-05,"raison",19.5
2018-09-05,"simone",11.12
2018-09-05,"gagne",11
2018-09-05,"std",20.98
2018-09-06,"raison",19.44
2018-09-06,"simone",11
2018-09-06,"gagne",10.69
2018-09-06,"std",20.98
2018-09-07,"raison",19.38
2018-09-07,"simone",11.06
2018-09-07,"gagne",11.12
2018-09-07,"std",20.98
2018-09-08,"raison",19.44
2018-09-08,"simone",11.25
2018-09-08,"gagne",10.94
2018-09-08,"std",20.98
2018-09-09,"raison",19.5
2018-09-09,"simone",11.12
2018-09-09,"gagne",10.81
2018-09-09,"std",20.98
2018-09-10,"raison",19.44
2018-09-10,"simone",11.12
2018-09-10,"gagne",10.81
2018-09-10,"std",20.98
2018-09-11,"raison",19.5
2018-09-11,"simone",10.94
2018-09-11,"gagne",11
2018-09-11,"std",20.98
2018-09-12,"raison",19.5
2018-09-12,"simone",11.06
2018-09-12,"gagne",11
2018-09-12,"std",20.98
2018-09-13,"raison",19.44
2018-09-13,"simone",11.19
2018-09-13,"gagne",11
2018-09-13,"std",20.98
2018-09-14,"raison",19.62
2018-09-14,"simone",11.06
2018-09-14,"gagne",11.06
2018-09-14,"std",20.98
2018-09-15,"raison",19.5
2018-09-15,"std",20.98
2018-09-16,"raison",19.56
2018-09-16,"simone",11
2018-09-16,"gagne",11.06
2018-09-16,"std",20.98
2018-10-01,"raison",19
2018-10-01,"simone",10.25
2018-10-01,"gagne",10.25
2018-10-02,"raison",19.38
2018-10-02,"simone",11
2018-10-02,"gagne",10.75
2018-10-02,"std",20.98
2018-10-03,"raison",19
2018-10-03,"simone",10.62
2018-10-03,"gagne",10.19
2018-10-03,"std",20.98
2018-10-04,"raison",18.94
2018-10-04,"simone",10.56
2018-10-04,"gagne",10.25
2018-10-04,"std",20.98
2018-10-09,"raison",19.62
2018-10-09,"simone",10.62
2018-10-09,"gagne",10.69
2018-10-09,"std",20.98
2018-10-10,"raison",19.12
2018-10-10,"simone",10.69
2018-10-10,"gagne",10.69
2018-10-10,"std",20.98
2018-10-11,"raison",19.12
2018-10-11,"simone",10.69
2018-10-11,"gagne",10.56
2018-10-11,"std",20.98
2018-10-12,"raison",19.06
2018-10-12,"simone",10.62
2018-10-12,"gagne",10.69
2018-10-12,"std",20.98
2018-10-13,"raison",19.31
2018-10-13,"simone",10.56
2018-10-13,"gagne",10.69
2018-10-13,"std",20.98
2018-10-14,"raison",19.06
2018-10-14,"simone",10.56
2018-10-14,"gagne",10.69
2018-10-14,"std",20.98
2018-10-15,"raison",19.25
2018-10-16,"raison",18.81
2018-10-16,"simone",10.69
2018-10-16,"gagne",10.69
2018-10-16,"std",20.98
2018-10-17,"raison",18.94
2018-10-17,"simone",10.81
2018-10-17,"gagne",10.81
2018-10-17,"std",20.98
2018-10-18,"raison",18.88
2018-10-18,"simone",10.75
2018-10-18,"gagne",10.81
2018-10-18,"std",20.98
2018-10-22,"simone",10.25
2018-10-22,"gagne",10.31
2018-10-23,"raison",18.5
2018-10-23,"simone",10.5
2018-10-23,"gagne",10.5
2018-10-23,"std",20.98
2018-10-24,"raison",18.44
2018-10-24,"simone",10.75
2018-10-24,"gagne",10.56
2018-10-24,"std",20.98
2018-10-25,"raison",18.44
2018-10-25,"simone",10.5
2018-10-25,"gagne",10.56
2018-10-26,"raison",18.5
2018-10-26,"simone",10.5
2018-10-26,"gagne",10.69
2018-10-27,"raison",18.62
2018-10-27,"simone",10.56
2018-10-27,"gagne",10.75
2018-10-28,"raison",18.38
2018-10-28,"simone",10.56
2018-10-28,"gagne",10.75
2018-10-29,"raison",18.56
2018-10-29,"simone",10.5
2018-10-29,"gagne",10.62
2018-10-30,"raison",18.5
2018-10-30,"simone",10.56
2018-10-30,"gagne",10.62
2018-10-31,"raison",18.44
2018-10-31,"simone",10.62
2018-10-31,"gagne",10.75
2018-10-31,"std",20.98
2018-11-01,"raison",18.44
2018-11-01,"simone",10.5
2018-11-01,"gagne",10.69
2018-11-02,"raison",18.38
2018-11-02,"simone",10.38
2018-11-02,"gagne",10.56
2018-11-04,"raison",18.69
2018-11-04,"simone",10.69
2018-11-04,"gagne",10.81
2018-11-05,"raison",18.44
2018-11-05,"simone",10.5
2018-11-05,"gagne",10.69
2018-11-06,"raison",18.44
2018-11-06,"simone",10.5
2018-11-06,"gagne",10.75
2018-11-06,"std",20.98
2018-11-18,"raison",19.44
2018-11-19,"raison",19
2018-11-19,"simone",10.44
2018-11-19,"gagne",10.88
2018-11-20,"raison",18.56
2018-11-20,"simone",10.44
2018-11-20,"gagne",10.56
2018-11-21,"raison",18.44
2018-11-21,"simone",10.5
2018-11-21,"gagne",10.69
2018-11-22,"raison",18.5
2018-11-22,"simone",10.31
2018-11-22,"gagne",10.69
2018-11-23,"raison",18.44
2018-11-23,"simone",10.25
2018-11-23,"gagne",10.5
2018-11-29,"raison",18.31
2018-11-29,"simone",10.5
2018-11-29,"gagne",10.62
2018-12-01,"raison",18.25
2018-12-01,"simone",10.38
2018-12-01,"gagne",10.44
2018-12-04,"raison",18.44
2018-12-04,"simone",10.38
2018-12-04,"gagne",10.62
2018-12-05,"raison",18.25
2018-12-05,"simone",10.44
2018-12-05,"gagne",10.75
2018-12-06,"raison",18.19
2018-12-06,"simone",10.5
2018-12-06,"gagne",10.69
2018-12-08,"raison",18.25
2018-12-08,"simone",10.69
2018-12-08,"gagne",10.88
2018-12-09,"raison",18.19
2018-12-09,"simone",10.5
2018-12-09,"gagne",10.81
2018-12-10,"raison",18.12
2018-12-11,"raison",18.25
2018-12-11,"simone",10.62
2018-12-11,"gagne",10.88
2018-12-17,"raison",17.94
2018-12-17,"simone",10.12
2018-12-17,"gagne",10.38
2018-12-18,"raison",17.88
2018-12-18,"simone",10.12
2018-12-18,"gagne",10.69
2019-01-08,"raison",17.94
2019-01-08,"simone",10
2019-01-08,"gagne",10.31
2019-01-10,"raison",17.81
2019-01-10,"simone",10.12
2019-01-10,"gagne",10.38
2019-01-14,"raison",17.88
2019-01-14,"simone",9.94
2019-01-14,"gagne",10.31
2019-01-17,"raison",17.81
2019-01-17,"simone",10.38
2019-01-17,"gagne",10.38
2019-01-17,"std",20.96
2019-01-19,"raison",17.75
2019-01-19,"simone",10.12
2019-01-19,"gagne",10.38
NA,"raison",17.81
NA,"simone",10.44
NA,"gagne",10.56
2019-01-26,"raison",18
2019-01-26,"simone",10.62
2019-01-26,"gagne",10.56
2019-01-27,"raison",18.06
2019-01-27,"simone",10.62
2019-01-27,"gagne",10.62
2019-01-28,"raison",17.94
2019-01-28,"simone",10.5
2019-01-28,"gagne",10.38
2019-02-04,"raison",18.06
2019-02-04,"simone",10.62
2019-02-04,"gagne",10.81
2019-02-06,"raison",18.06
2019-02-06,"simone",10.88
2019-02-06,"gagne",10.88
2019-02-08,"raison",18
2019-02-08,"simone",10.56
2019-02-08,"gagne",10.69
2019-02-10,"raison",17.94
2019-02-10,"simone",10.62
2019-02-10,"gagne",10.69
2019-02-13,"raison",18.06
2019-02-13,"simone",10.62
2019-02-13,"gagne",10.81
2019-02-15,"raison",17.88
2019-02-26,"raison",17.81
2019-02-26,"simone",10.38
2019-02-26,"gagne",10.44
2019-02-28,"raison",17.62
2019-02-28,"simone",10.25
2019-02-28,"gagne",10.31
2019-03-03,"raison",17.44
2019-03-03,"simone",10.31
2019-03-03,"gagne",10.19
2019-03-05,"raison",17.56
2019-03-05,"simone",10.44
2019-03-05,"gagne",10.5
2019-03-19,"raison",18.06
2019-03-19,"simone",9.94
2019-03-19,"gagne",9.88
2019-03-21,"raison",18.06
2019-03-21,"simone",10.12
2019-03-21,"gagne",10.06
2019-03-23,"raison",17.94
2019-03-23,"simone",10.06
2019-03-23,"gagne",10.06
2019-03-25,"raison",17.94
2019-03-25,"simone",10.06
2019-03-25,"gagne",10.06
2019-03-31,"raison",17.81
2019-03-31,"simone",10.44
2019-03-31,"gagne",10.38
2019-04-05,"raison",17.81
2019-04-05,"simone",10.25
2019-04-05,"gagne",10.44
2019-04-07,"raison",17.88
2019-04-07,"simone",10.25
2019-04-07,"gagne",10.44
2019-04-09,"raison",17.94
2019-04-09,"simone",10.38
2019-04-09,"gagne",10.44
2019-04-11,"raison",17.94
2019-04-11,"simone",10.38
2019-04-11,"gagne",10.38
2019-04-15,"raison",17.62
2019-04-15,"simone",9.94
2019-04-15,"gagne",9.94
2019-04-21,"raison",17.62
2019-04-21,"simone",10.31
2019-04-21,"gagne",10.12
2019-04-24,"raison",17.69
2019-04-24,"simone",10.38
2019-04-24,"gagne",10.19
2019-04-30,"raison",17.56
2019-04-30,"simone",10.06
2019-04-30,"gagne",9.81
2019-05-03,"raison",17.5
2019-05-03,"simone",10.31
2019-05-03,"gagne",10.06
2019-05-06,"raison",17.56
2019-05-06,"simone",10.06
2019-05-06,"gagne",10.06
2019-05-10,"raison",17.25
2019-05-10,"simone",10.19
2019-05-10,"gagne",10.12
2019-05-17,"raison",17.5
2019-05-17,"simone",10.25
2019-05-17,"gagne",10.06
2019-05-31,"raison",17.25
2019-05-31,"simone",9.88
2019-05-31,"gagne",9.5
2019-06-08,"raison",18.06
2019-06-08,"simone",10.44
2019-06-08,"gagne",9.88
2019-06-12,"raison",17.69
2019-06-12,"simone",10.31
2019-06-12,"gagne",9.56
2019-06-15,"raison",17.75
2019-06-15,"simone",10.25
2019-06-15,"gagne",9.5
2019-06-21,"raison",18.25
2019-06-21,"simone",10.56
2019-06-21,"gagne",9.56
2019-07-03,"raison",18
2019-07-03,"simone",10
2019-07-03,"gagne",9.31
2019-07-08,"raison",18.06
2019-07-08,"simone",10.69
2019-07-08,"gagne",9.38
2019-07-16,"raison",18.38
2019-07-16,"simone",10.44
2019-07-16,"gagne",8.94
2019-07-19,"raison",18.12
2019-07-19,"simone",10.38
2019-07-19,"gagne",9
2019-07-23,"simone",10.25
2019-07-23,"gagne",8.75
2019-07-26,"raison",18.19
2019-07-26,"simone",10.25
2019-07-26,"gagne",9
2019-07-30,"raison",18.12
2019-07-30,"simone",10.25
2019-07-30,"gagne",8.75
2019-08-04,"raison",18.19
2019-08-04,"simone",10.38
2019-08-04,"gagne",8.69
2019-08-06,"raison",18.19
2019-08-06,"simone",10.44
2019-08-06,"gagne",8.81
2019-08-10,"raison",17.94
2019-08-10,"simone",10.19
2019-08-10,"gagne",8.75
2019-08-14,"raison",7.94
2019-08-14,"simone",10.44
2019-08-14,"gagne",8.88
2019-08-18,"raison",18
2019-08-18,"simone",10.25
2019-08-18,"gagne",8.69
2019-08-22,"raison",17.88
2019-08-22,"simone",10.38
2019-08-22,"gagne",8.56
2019-08-25,"raison",17.94
2019-08-25,"simone",10.31
2019-08-25,"gagne",8.38
2019-08-28,"raison",17.81
2019-08-28,"simone",10.31
2019-08-28,"gagne",8.12
2019-09-03,"raison",17.88
2019-09-03,"simone",9.88
2019-09-06,"raison",17.44
2019-09-06,"simone",10.12
2019-09-06,"gagne",8
2019-09-22,"raison",17.88
2019-09-22,"simone",9.94
2019-09-25,"raison",17.62
2019-09-25,"simone",10.19
2019-10-02,"raison",17.56
2019-10-02,"simone",10.25
2019-10-07,"raison",17.5
2019-10-07,"simone",10.06
2019-10-11,"raison",17.38
2019-10-11,"simone",10.25
2019-10-15,"raison",17.56
2019-10-15,"simone",10.31
2019-10-19,"raison",17.69
2019-10-19,"simone",10.19
2019-10-22,"raison",17.69
2019-10-22,"simone",10.31
2019-11-04,"raison",17.12
2019-11-04,"simone",9.12
2019-11-06,"raison",17.38
2019-11-06,"simone",9.62
2019-11-10,"raison",17.56
2019-11-10,"simone",10
2019-11-17,"raison",17.31
2019-11-17,"simone",9.75
2019-11-24,"raison",17.62
2019-11-24,"simone",9.88
2019-11-30,"raison",17.38
2019-11-30,"simone",9.75
2019-12-07,"raison",17.5
2019-12-07,"simone",9.88
2019-12-12,"raison",17.75
2019-12-12,"simone",10
2019-12-15,"raison",17.88
2019-12-15,"simone",10
2019-12-19,"raison",17.81
2019-12-19,"simone",9.88
2019-12-30,"raison",17.81
2019-12-30,"simone",9.88
2020-01-11,"raison",17.56
2020-01-11,"simone",9.62
2020-01-13,"raison",17.62
2020-01-13,"simone",9.56
2020-01-19,"raison",17.94
2020-01-19,"simone",9.69
2020-01-22,"raison",17.88
2020-01-22,"simone",9.81
2020-01-29,"raison",18
2020-01-29,"simone",9.94
2020-02-03,"raison",17.31
2020-02-03,"simone",9.31
2020-02-06,"raison",17.38
2020-02-06,"simone",9.62
2020-02-13,"raison",17.44
2020-02-13,"simone",9.94
2020-02-18,"raison",17.25
2020-02-18,"simone",9.25
2020-02-25,"raison",17.31
